adminPttnCd,hmpgAddr,longTermAdminSym,pkngEquip,tfMth
A03,https://blog.naver.com/hodqhr0,11132000403,"건물 지하 1, 2층 이용","승용차 : 서울시 도봉구 도봉로 180길, 46  (삼성홈실버타운 2층) 지하철 : 도봉역(1호선) 1번출구 - 도봉산 방향 도보 5분 "
A03,http://www.미소사랑.한국/index.php,11132000404,"삼성홈실버타운 본 건물 지하 1층 주차장, 지하2층 주차장이 있습니다.",도보 이용시 : 도봉역1번출구 -> 1개의 횡단보도를 지나 약 90m이동 -> 오른쪽방향으로 -> 도봉동 동아에코빌 아파트 105동까지 약 26
A03, 없음,11132000405,"(카 리프트 이용) 지하 1층, 지하 2층 주차가능",버스 : 도봉동 한신아파트 하차 - 굴다리 밑으로 200m 내려온 뒤 - 이마트 에브리데이를 지나 우측 골목으로 70m 직진지하철 : 도봉역
A03, http://은나무요양원.kr,11132000406,본 건물 지하1.2층 주차장 25대건물 외부주차장 2대**본 건물 방문 시 건물 도로변 주차는 삼가해주세요(불법주정차 단속지역 입니다**),"지하철 이용 시1호선 도봉역 1번 출구 동아에코빌아파트 방향대중교통 이용 시간선(도봉한신아파트 하차): 106, 107, 108, 140,"
A03,없음,11132000407,건물 내 주차시설 총 6대  요양원 주위 다수 주차 가능 ,"차량  : 신창 시장 부근 LG주유서 건너편  신창 아파트 105동 앞 전철  :  1호선 창동역, 2번 출구,  녹천역   2번출구  14"
A04,www.도봉하루요양원.kr,11132000412,주차시설완비,대중교통 이용시창동역~쌍문2동 : 마을버스 1120을 창동역 서측에서 탑승방학역~쌍문2동 : 수유방향으로 가는 모든 간선 버스(보건소
A04,http://www.gcare.kr,11132000413,이정빌딩 1층에 위치한 현대종합동물병원을 끼고 들어와서 첫번째 사거리에서 좌회전(사슴놀이터  골목)하면 지상 및 지하 주차장이 왼편에 위치해 ,방학사거리에 위치해 있으며 도봉소방서 바로 맞은편 이정빌딩 2층입니다.지하철역은 방학역 3번(남부) 출구(홈플러스방면)에서 도보로 7분거리입니
A04,www.gcare.kr,11132000415,이정빌딩 1층에 위치한 현대종합동물병원을 끼고 들어와서 첫번째 사거리에서 좌회전(사슴놀이터  골목)하면 지상 및 지하 주차장이 왼편에 위치해 ,방학사거리에 위치해 있으며 도봉소방서 바로 맞은편 이정빌딩 2층입니다.지하철역은 방학역 3번(남부) 출구(홈플러스방면)에서 도보로 7분거리입니
A03,http://lovetown.co.kr/,11132000416,"렉시온프라자 지하 2층, 3층","주소 : 서울시 도봉구 도봉로152길 26, 7층지하철 : 방학역 2번 출구 나오셔서 도봉구청 방향으로 도보 1~2분버   스 : 106,"
A04,https://www.longtermcare.or.kr,11132000418,#NAME?,지하철역방학역 1호선 | 3번 출구 도보 7분 버스정류장- 도봉소방서 정류장 번호: (10114) | 거리:  82m   간선 -
A04,https://www.longtermcare.or.kr,11132000419,#NAME?,지하철역방학역 1호선 | 3번 출구 도보 7분 버스정류장- 도봉소방서 정류장 번호: (10114) | 거리:  82m   간선 -
A04,blog.naver.com/syi44luj,11132000426,5대,"4호선 쌍문역 3번 출구로 나오셔서, 마을버스 7번을 타고, 대우아파트 104동에서 하차.1호선 창동역 북부로 나오셔서, 마을버스 14번을 "
A04,www.ohappycare.com,11132000427,본 건물 뒤에 넉넉한 주차공간이 완비되어 있습니다.,"지하철 방학역(1호선) 2번출구 또는 3번출구 (도봉구청 방향) - 도보 5분 거리 창동역(1,4호선) 1번출구(도봉경철서,도봉구청 방향)-"
A03,http://실버빌요양원.com/,11132000451,건물 앞(1층)과 지하 2층에 주차 가능합니다.장애인용 주차장은 1층에 위치하여 있습니다.,[오시는 길 안내]● 지하철 이용 시 4호선 쌍문역 1번출구 (도보 7분)직진하여 정의여중 사거리에서 창동역 방면으로 우회전창동고등학교
A03,blog.naver.com/cjvip2019,11132000454,"상가 내 지하 1,2층 주차시설 활용","대중교통 이용시 - 지하철 4호선 쌍문역에서 하차 후 노선버스 탑승. 정류장 ""도봉보건소 사거리""에서 하차.경복궁, 삿뽀로 식당 뒤 리더스상가"
A04,http://blog.naver.com/whqudtjr,11132000463,기관내 주차가능,네비게이션 : 주소입력후 방문(서울시 도봉구 도봉로 137길 48)대중교통 : 버스141/130방학사거리하차버스106/107/140/160
A04,http://blog.naver.com/chfhrel,11132000464,기관내 주차가능,네비게이션 : 주소입력후 방문(서울시 도봉구 도봉로 137길 48)대중교통 : 버스141/130방학사거리하차버스106/107/140/160
A04,https://blog.naver.com/goodmns,11132000482,주차가능,"방학역 1번출구 100미터, 신도봉사거리 버스정류장 앞"
A04,https://blog.naver.com/goodmns,11132000483,굿모닝요양원 뒤편 주차장완비,지하철 1호선방학역 1번출구 100미터. 신도봉사거리 버스정류장 앞
A04,미운영,11132000489,명준빌딩 옆 주차가능,"4호선 쌍문역 2번, 4번 출구에서 의정부방향 시내버스 승차 후 도봉구민회관 하차하여 도봉구민회관 맞은편 LG전자 옆길로 들어오시면 GS25편의"
A03,http://www.longtermcare.or.kr/,11132000496,지하1층  : 22대지하 2층 :16대,"주       소 : 서울특별시 도봉구 마들로649-20  메인프라자 7층 TOP동그라미요양원버스노선 : 신도봉시장.도봉구청.방학북부역 ,16"
A03,charmzone6f.modoo.at,11132000517,"리더스빌딩 지하 주차장 1,2층 사용 가능함.",4호선 창동역에서 하차 1번출구에서 노원15번 버스이용(북한산아이파크정문에서 하차)4호선 쌍문역에서 1번출구에서 아래버스이용(도봉보건소하차)
