adminPttnCd,batRoom,funcTrnRoomreal,longTermAdminSym,medRoomreal,ofce,pgmRoomreal,prsnRoomreal1,prsnRoomreal2,prsnRoomreal3,prsnRoomreal4,spcAcupRoomreal,taxPageLong,taxRoom
A03,0,0,11132000403,0,0,0,0,6,0,6,1,0,0
A03,2,1,11132000404,1,1,1,0,6,0,6,1,1,1
A03,0,0,11132000405,0,0,0,0,6,0,6,1,0,0
A03,2,1,11132000406,1,1,1,0,6,0,6,1,1,1
A03,0,0,11132000407,0,0,0,0,0,0,0,0,0,0
A04,0,0,11132000412,0,0,0,0,0,0,0,0,0,0
A04,1,0,11132000413,0,1,1,1,0,1,0,0,0,0
A04,2,0,11132000415,0,1,1,1,0,1,0,0,0,0
A03,2,1,11132000416,1,1,1,0,8,0,8,1,1,1
A04,0,0,11132000418,0,0,0,0,0,0,0,0,0,0
A04,0,0,11132000419,0,0,0,0,0,0,0,0,0,0
A04,1,0,11132000426,0,1,1,0,1,0,1,0,0,0
A04,1,0,11132000427,0,1,1,0,1,0,1,1,1,0
A03,9,1,11132000451,1,1,1,1,2,1,2,1,1,1
A03,3,1,11132000454,1,1,2,10,9,10,9,1,1,2
A04,2,0,11132000463,0,1,1,0,1,0,1,1,0,0
A04,1,0,11132000464,0,1,1,0,1,0,1,1,0,0
A04,2,0,11132000482,0,1,1,0,3,0,3,0,0,0
A04,2,0,11132000483,0,1,1,2,2,2,2,0,0,0
A04,2,0,11132000489,0,1,1,1,1,1,1,0,1,0
A03,2,1,11132000496,1,1,1,0,2,0,2,1,1,0
A03,2,1,11132000517,1,1,1,1,4,1,4,1,1,0
A03,0,0,11132000531,0,0,0,2,12,2,12,1,0,0
A03,6,1,11132000537,2,1,1,0,0,0,0,2,1,1
A03,84,1,11135000011,4,1,3,0,0,0,0,2,6,1
A03,26,1,11135000016,1,1,1,0,0,0,0,1,1,1
A03,23,1,11135000020,1,1,1,3,3,3,3,0,23,3
