longTermAdminSym,adminPttnCd,adminNm,hmPostNo,siDoCd,siGunGuCd,HDongCd,BDongCd,riCd,detailAddr,roadNmCd,gunmulMlno,gunmulSlno,fl,locTelNo_1,locTelNo_2,locTelNo_3,longTermPeribRgtDt,stpRptDt
11132000403,A03,행복요양원,1320,11,320,521,108,0,,113204127183,46,0,2,2,955,2,20170605,20170605
11132000404,A03,미소사랑요양원,1320,11,320,521,108,0,,113204127183,46,0,3,2,954,3322,20170605,20170605
11132000405,A03,효심요양원,1320,11,320,521,108,0,,113204127183,46,0,7,2,956,9977,20170605,20170605
11132000406,A03,은나무요양원,1320,11,320,521,108,0,,113204127183,46,0,6,2,995,7588,20170607,20170607
11132000407,A03,선한노인전문요양원,1475,11,320,511,107,0,,113204127064,52,6,,2,907,8686,20170607,20170607
11132000412,A04,도봉하루요양원3호점,1395,11,320,670,105,0,,113204127222,103,0,,70,8182,7713,20170901,20170901
11132000413,A04,강북실버요양원,1346,11,320,690,106,0,,113203005039,669,0,,2,956,7766,20170901,20170901
11132000415,A04,강북실버요양원2호점,1346,11,320,690,106,0,,113203005039,669,0,,2,956,7766,20170901,20170901
11132000416,A03,큰사랑노인요양원,1332,11,320,690,106,0,,113204127151,26,0,7,2,3492,5720,20170906,20170906
11132000418,A04,강북요양원,1346,11,320,690,106,0,,113203005039,669,0,5,2,954,4100,20170921,20170921
11132000419,A04,강북요양원2호점,1346,11,320,690,106,0,,113203005039,669,0,5,2,954,4100,20170921,20170921
11132000426,A04,사랑재활요양원3호점,1464,11,320,512,107,0,,113204127048,54,0,,2,900,3882,20180103,20180103
11132000427,A04,서울행복한요양원,1330,11,320,522,108,0,,113203109006,664,11,,2,906,599,20180103,20180103
11132000451,A03,실버빌요양원,1428,11,320,515,107,0,,113203005047,277,0,,2,995,5858,20190301,20190301
11132000454,A03,참존vip요양원,1401,11,320,515,107,0,,113204127127,4,0,4,2,996,8007,20190418,20190418
11132000463,A04,기쁨과나눔노인요양원,1391,11,320,670,105,0,,113204127131,48,0,2,2,900,3481,20190801,20190801
11132000464,A04,기쁨과나눔노인요양원2호점,1391,11,320,670,105,0,,113204127131,48,0,2,2,900,3482,20190801,20190801
11132000482,A04,굿모닝요양원,1310,11,320,521,108,0,,113203005039,765,0,2,2,956,1357,20191230,20191230
11132000483,A04,굿모닝요양원2호점,1310,11,320,521,108,0,,113203005039,765,0,4,2,955,1355,20191230,20191230
11132000489,A04,하루정요양센터,1432,11,320,670,105,0,,113204127316,42,0,4,2,902,7712,20200706,20200706
11132000496,A03,TOP동그라미요양원,1332,11,320,690,106,0,,113203109006,649,20,7,2,956,8777,20201101,20201101
11132000517,A03,참존요양원,1401,11,320,515,107,0,,113204127127,4,0,6,2,996,8004,20210731,20210731
11132000531,A03,A플러스노아재활요양원,1332,11,320,690,106,0,,113203109006,649,20,6,2,955,7773,20220601,20220601
11132000537,A03,실버케어너싱홈,1307,11,320,521,108,0,,113204127162,10,0,,2,956,10,20221001,20221001
11135000011,A03,시립중계노인전문요양원,1771,11,350,625,106,0,,113503110005,313,0,,2,3399,7500,20080529,20080529
11135000016,A03,구립하계실버센터,1862,11,350,612,104,0,,113503110009,4,0,,2,975,9555,20080604,20071105
11135000020,A03,영기노인요양원,1623,11,350,630,105,0,,113504130257,30,0,,2,939,8111,20080610,20050303
11135000160,A04,노원효사랑요양원,1859,11,350,595,103,0,604번지 28호 ,113504130168,37,0,,2,979,3225,20100301,20100301
11135000175,A03,노원실버센터,1852,11,350,595,103,0,323번지 15호 ,113503000001,1097,0,,2,978,7722,20100601,20100601
11135000188,A03,늘사랑실버센터,1666,11,350,670,105,0,,113503110009,444,0,"5층, 4",2,932,33,20100726,20100726
11135000216,A04,노원사랑요양원1,1849,11,350,595,103,0,661번지 8호 ,113504130170,44,0,,2,977,2468,20110302,20110302
11135000217,A04,노원사랑요양원2,1849,11,350,595,103,0,661번지 8호 ,113504130170,44,0,,2,977,2468,20110302,20110302
11135000223,A03,서울실버케어노인요양원,1666,11,350,670,105,0,,113504130419,31,0,"2,3,4",2,931,4450,20110901,20110901
11135000225,A04,노원사랑요양원3,1849,11,350,595,103,0,661번지 8호 ,113504130170,44,0,,2,977,2487,20110901,20110901
11135000227,A04,노원사랑요양원4,1849,11,350,595,103,0,661번지 8호 ,113504130170,44,0,,2,977,2497,20110923,20110923
11135000260,A04,너싱홈 돌봄과간호1,1674,11,350,710,105,0,,113503000001,1550,0,,2,931,3657,20130408,20130408
11135000261,A04,너싱홈 돌봄과간호2,1674,11,350,710,105,0,,113503000001,1550,0,,2,931,3657,20130408,20130408
11135000268,A03,노원요양복지원,1684,11,350,640,105,0,,113503110002,464,0,,2,938,1,20130611,20130610
11135000273,A03,길요양원,1701,11,350,624,106,0,,113504130388,48,0,,2,939,6993,20131007,20131004
11135000292,A04,수요양원,1611,11,350,630,105,0,,113504130232,16,0,3,2,936,1231,20140401,20140326
11135000333,A04,주사랑노인종합복지센터,1894,11,350,560,102,0,,113503110001,48,0,2,2,943,7718,20150201,20100726
11135000355,A03,A+행복한그린요양원,1629,11,350,630,105,0,,113504130220,23,0,,2,951,3877,20151104,20151104
11135000372,A04,가온요양원,1691,11,350,640,105,0,,113503110002,479,0,5,2,951,3001,20160617,20160617
11135000400,A03,상계요양원,1627,11,350,630,105,0,,113504130251,27,0,,2,931,3376,20170613,20170613
11135000407,A04,효누리요양원,1668,11,350,670,105,0,,113503110009,422,0,3,2,937,1030,20170801,20170801
11135000425,A03,러빙케어,1693,11,350,640,105,0,,113504130277,54,4,,2,939,8300,20180101,20180101
11135000441,A04,노원행복한요양원,1679,11,350,670,105,0,,113504130423,58,0,4,2,936,55,20180701,20180701
11135000442,A04,행복한요양원,1679,11,350,670,105,0,,113504130423,58,0,3,2,936,55,20180701,20180701
11135000460,A04,성모요양원,1691,11,350,640,105,0,,113503110002,479,0,3,2,951,3004,20190301,20190301
11135000465,A04,늘봄요양원,1679,11,350,670,105,0,,113504130423,58,0,2,2,935,8889,20190501,20190501
11135000487,A04,가족마음요양원,1679,11,350,670,105,0,,113504130423,58,0,5,2,939,2626,20191115,20191115
11135000558,A04,사랑과섬김요양원,1668,11,350,670,105,0,,113503110009,422,0,5,2,930,1288,20211006,20211006
