adminPttnCd,fmNowPer,fmRsvPer,longTermAdminSym,maNowPer,maRsvPer,totPer
A03,21,0,11132000403,4,0,29
A03,19,0,11132000404,7,0,29
A03,24,0,11132000405,2,0,29
A03,25,1,11132000406,4,0,29
A03,32,,11132000407,7,,39
A04,4,,11132000412,3,,8
A04,8,0,11132000413,1,,9
A04,8,,11132000415,1,,9
A03,19,,11132000416,7,,28
A04,5,,11132000418,4,0,9
A04,9,,11132000419,0,,9
A04,7,,11132000426,2,,9
A04,3,,11132000427,4,,9
A03,63,0,11132000451,11,5,78
A03,21,1,11132000454,5,0,29
A04,7,0,11132000463,2,0,9
A04,8,,11132000464,1,,9
A04,5,0,11132000482,4,0,9
A04,6,,11132000483,3,,9
A04,5,,11132000489,1,,7
A03,25,,11132000496,2,0,26
A03,18,,11132000517,4,1,29
A03,27,,11132000531,1,,29
A03,5,,11132000537,2,,48
A03,180,108,11135000011,49,109,230
A03,64,46,11135000016,8,52,76
A03,32,0,11135000020,3,0,83
A04,6,0,11135000160,0,0,7
A03,84,2,11135000175,0,1,87
A03,72,0,11135000188,6,0,80
A04,6,0,11135000216,0,0,9
A04,5,0,11135000217,1,0,9
A03,20,0,11135000223,10,0,45
A04,4,0,11135000225,2,,9
A04,0,0,11135000227,0,0,9
A04,5,0,11135000260,0,0,9
A04,7,0,11135000261,2,0,9
A03,21,0,11135000268,9,0,45
A03,55,0,11135000273,14,0,80
A04,8,,11135000292,0,0,9
A04,4,0,11135000333,1,0,9
A03,6,0,11135000355,5,0,20
A04,9,,11135000372,0,0,9
A03,66,6,11135000400,16,5,82
A04,7,,11135000407,2,,9
A03,21,,11135000425,7,,28
A04,9,0,11135000441,0,0,9
A04,8,0,11135000442,0,0,9
A04,9,,11135000460,,,9
A04,7,,11135000465,2,,9
A04,4,0,11135000487,5,0,9
A04,8,,11135000558,1,,9
A04,8,,11135000573,1,,9
A03,23,0,11138000004,0,0,25
A03,91,0,11138000006,22,0,168
A03,59,0,11138000008,23,0,112
A04,6,0,11138000031,2,0,9
A03,196,162,11138000065,51,74,247
G31,12,2,11138000065,0,0,12
G32,0,0,11138000065,12,2,12
G33,16,2,11138000065,0,0,16
A03,21,14,11138000090,0,3,21
A03,12,,11138000093,0,,13
A04,8,,11138000121,0,0,8
A03,31,0,11138000128,4,0,36
A03,15,0,11138000195,3,0,38
A03,84,2,11138000216,29,3,115
A03,126,2,11138000217,34,5,158
M31,6,1,11138000217,2,0,12
A03,56,0,11138000224,22,0,99
A03,41,3,11138000243,18,3,60
A04,7,0,11138000257,2,0,9
A03,41,0,11138000258,9,0,67
A04,9,0,11138000271,0,0,9
A04,9,1,11138000280,0,1,9
A03,25,,11138000355,10,,43
A03,39,0,11138000379,8,0,49
A03,15,0,11138000397,6,2,29
A04,9,3,11138000402,0,,9
A04,8,2,11138000430,0,,9
A04,4,,11138000431,1,,9
A03,19,3,11141000021,1,2,20
A03,17,8,11141000023,0,,21
A03,71,89,11141000073,7,99,78
A03,23,0,11141000097,0,0,24
A03,16,3,11141000098,0,1,20
A03,28,0,11129000169,1,,36
A03,26,1,11129000170,3,0,29
A04,5,0,11129000192,1,0,6
A03,12,0,11129000215,2,0,15
A03,14,,11129000216,2,,20
A03,19,0,11129000227,8,1,29
A04,8,0,11129000231,0,0,9
A03,27,0,11129000237,7,0,36
A03,31,,11129000250,11,,68
A04,5,0,11129000273,4,0,9
A04,8,,11129000318,0,,9
A03,12,2,11129000320,2,1,16
A03,14,3,11129000330,7,2,49
A03,34,,11129000345,7,,44
