,장기요양기관기호,장기요양기관유형코드,장기요양기관이름,시도코드,시군구코드,장기요양기관지정일,설치신고일자
0,11132000403,A03,행복요양원,11,320,20170605,20170605
1,11132000404,A03,미소사랑요양원,11,320,20170605,20170605
2,11132000405,A03,효심요양원,11,320,20170605,20170605
3,11132000406,A03,은나무요양원,11,320,20170607,20170607
4,11132000407,A03,선한노인전문요양원,11,320,20170607,20170607
5,11132000412,A04,도봉하루요양원3호점,11,320,20170901,20170901
6,11132000413,A04,강북실버요양원,11,320,20170901,20170901
7,11132000415,A04,강북실버요양원2호점,11,320,20170901,20170901
8,11132000416,A03,큰사랑노인요양원,11,320,20170906,20170906
9,11132000418,A04,강북요양원,11,320,20170921,20170921
10,11132000419,A04,강북요양원2호점,11,320,20170921,20170921
11,11132000426,A04,사랑재활요양원3호점,11,320,20180103,20180103
12,11132000427,A04,서울행복한요양원,11,320,20180103,20180103
13,11132000451,A03,실버빌요양원,11,320,20190301,20190301
14,11132000454,A03,참존vip요양원,11,320,20190418,20190418
15,11132000463,A04,기쁨과나눔노인요양원,11,320,20190801,20190801
16,11132000464,A04,기쁨과나눔노인요양원2호점,11,320,20190801,20190801
17,11132000482,A04,굿모닝요양원,11,320,20191230,20191230
18,11132000483,A04,굿모닝요양원2호점,11,320,20191230,20191230
19,11132000489,A04,하루정요양센터,11,320,20200706,20200706
20,11132000496,A03,TOP동그라미요양원,11,320,20201101,20201101
21,11132000517,A03,참존요양원,11,320,20210731,20210731
22,11132000531,A03,A플러스노아재활요양원,11,320,20220601,20220601
23,11132000537,A03,실버케어너싱홈,11,320,20221001,20221001
24,11135000011,A03,시립중계노인전문요양원,11,350,20080529,20080529
25,11135000016,A03,구립하계실버센터,11,350,20080604,20071105
26,11135000020,A03,영기노인요양원,11,350,20080610,20050303
27,11135000160,A04,노원효사랑요양원,11,350,20100301,20100301
28,11135000175,A03,노원실버센터,11,350,20100601,20100601
29,11135000188,A03,늘사랑실버센터,11,350,20100726,20100726
30,11135000216,A04,노원사랑요양원1,11,350,20110302,20110302
31,11135000217,A04,노원사랑요양원2,11,350,20110302,20110302
32,11135000223,A03,서울실버케어노인요양원,11,350,20110901,20110901
33,11135000225,A04,노원사랑요양원3,11,350,20110901,20110901
34,11135000227,A04,노원사랑요양원4,11,350,20110923,20110923
35,11135000260,A04,너싱홈 돌봄과간호1,11,350,20130408,20130408
36,11135000261,A04,너싱홈 돌봄과간호2,11,350,20130408,20130408
37,11135000268,A03,노원요양복지원,11,350,20130611,20130610
38,11135000273,A03,길요양원,11,350,20131007,20131004
39,11135000292,A04,수요양원,11,350,20140401,20140326
40,11135000333,A04,주사랑노인종합복지센터,11,350,20150201,20100726
41,11135000355,A03,A+행복한그린요양원,11,350,20151104,20151104
42,11135000372,A04,가온요양원,11,350,20160617,20160617
43,11135000400,A03,상계요양원,11,350,20170613,20170613
44,11135000407,A04,효누리요양원,11,350,20170801,20170801
45,11135000425,A03,러빙케어,11,350,20180101,20180101
46,11135000441,A04,노원행복한요양원,11,350,20180701,20180701
47,11135000442,A04,행복한요양원,11,350,20180701,20180701
48,11135000460,A04,성모요양원,11,350,20190301,20190301
49,11135000465,A04,늘봄요양원,11,350,20190501,20190501
50,11135000487,A04,가족마음요양원,11,350,20191115,20191115
51,11135000558,A04,사랑과섬김요양원,11,350,20211006,20211006
52,11135000573,A04,노블레스요양원,11,350,20220501,20220501
53,11138000004,A03,자비의집,11,380,20080513,20071204
54,11138000006,A03,정원치매노인요양센터,11,380,20080526,19990420
55,11138000008,A03,정원노인요양원,11,380,20080527,19890418
56,11138000031,A04,시온노인요양원,11,380,20080828,20080825
57,11138000065,A03,붓다마을,11,380,20090703,20090703
58,11138000065,G31,붓다마을,11,380,20090703,20090703
59,11138000065,G32,붓다마을,11,380,20090703,20090703
60,11138000065,G33,붓다마을,11,380,20090703,20090703
61,11138000090,A03,해피안,11,380,20090918,20090916
62,11138000093,A03,녹번실버,11,380,20091008,20091008
63,11138000121,A04,로뎀요양원,11,380,20100304,20100304
64,11138000128,A03,엘림요양원,11,380,20100301,20100301
65,11138000195,A03,써니요양원,11,380,20121022,20121022
66,11138000216,A03,마추미실버케어 응암점,11,380,20131004,20131004
67,11138000217,A03,노블케어스,11,380,20131108,20131108
68,11138000217,M31,노블케어스,11,380,20131108,20131108
69,11138000224,A03,노블타운 요양원,11,380,20140407,20140407
70,11138000243,A03,은평요양원,11,380,20150421,20150421
71,11138000257,A04,'(협)노인돌봄은평요양원,11,380,20150731,20150731
72,11138000258,A03,수색실버케어,11,380,20150817,20150817
73,11138000271,A04,'참좋은요양원,11,380,20160205,20160205
74,11138000280,A04,주안요양원,11,380,20160502,20160502
75,11138000355,A03,은평실버랜드요양원,11,380,20190604,20190604
76,11138000379,A03,실비아요양원,11,380,20200106,20200106
77,11138000397,A03,갈현효요양원,11,380,20201101,20201101
78,11138000402,A04,백련실버케어,11,380,20210101,20210101
79,11138000430,A04,사랑가득요양원1호,11,380,20220401,20220401
80,11138000431,A04,사랑가득요양원2호,11,380,20220401,20220401
81,11141000021,A03,중앙소규모요양시설,11,410,20080627,20080627
82,11141000023,A03,효림노인요양센터,11,410,20080627,20080627
83,11141000073,A03,구립서대문노인전문요양센터,11,410,20090818,20090818
84,11141000097,A03,서대문노인복지관요양센터,11,410,20100301,20100301
85,11141000098,A03,홍은노인요양시설,11,410,20100301,20100301
86,11129000169,A03,청화요양원,11,290,20140109,20140109
87,11129000170,A03,보문요양원,11,290,20140127,20140127
88,11129000192,A04,유민복지센터,11,290,20150101,20150101
89,11129000215,A03,종암요양원,11,290,20160311,20160311
90,11129000216,A03,둥지요양원,11,290,20160428,20160428
91,11129000227,A03,한솔요양원,11,290,20160912,20160912
92,11129000231,A04,우리엄마요양원,11,290,20170116,20170116
93,11129000237,A03,다애요양원,11,290,20170317,20170317
94,11129000250,A03,정진요양원,11,290,20180201,20180201
95,11129000273,A04,우리엄마요양원2호점,11,290,20190214,20190214
96,11129000318,A04,늘푸른요양원,11,290,20201008,20201008
97,11129000320,A03,성북힐요양원,11,290,20201029,20201029
98,11129000330,A03,더 프라임 요양원,11,290,20211021,20211021
99,11129000345,A03,정릉노인요양원,11,290,20220801,20220801
100,11129000351,A03,백마요양원,11,290,20230201,20230201
101,11130500001,A03,강북노인전문요양원,11,305,20080602,20080304
102,11130500045,A03,e-포근한 요양원,11,305,20090106,20090105
103,11130500047,A04,효노인복지센터,11,305,20090216,20090216
104,11130500126,A03,푸른요양원1호점,11,305,20100716,20100716
105,11130500169,A04,거목실버홈,11,305,20130501,20130501
106,11130500170,A04,거목요양홈,11,305,20130501,20130501
107,11130500171,A04,거목노인요양원,11,305,20130501,20130501
108,11130500172,A03,강북실버종합복지센터,11,305,20130516,20130515
109,11130500172,G31,강북실버종합복지센터,11,305,20130516,20130515
110,11130500219,A04,가온요양원1,11,305,20150113,20150113
111,11130500220,A04,가온요양원2,11,305,20150113,20150113
112,11130500229,A04,사랑나눔요양원2,11,305,20150501,20150501
113,11130500234,A03,봄날북한산요양원,11,305,20150724,20150724
114,11130500246,A03,가족사랑요양원,11,305,20160608,20160608
115,11130500248,A04,행복한노인요양원2,11,305,20160617,20160617
116,11130500250,A04,행복한노인요양원1,11,305,20160617,20160617
117,11130500273,A04,가족사랑노인요양센터,11,305,20170701,20170701
118,11130500276,A04,행복한노인요양원3,11,305,20170801,20170801
119,11130500280,A03,푸른요양원2호점,11,305,20170901,20170901
120,11130500290,A03,길재활요양원,11,305,20180206,20180206
121,11130500302,A04,강북효심요양원1,11,305,20180901,20180901
122,11130500303,A04,강북효심요양원2,11,305,20180901,20180901
123,11130500307,A04,강북유진복지센터,11,305,20181001,20181001
124,11130500309,A04,가인요양원,11,305,20181001,20181001
125,11130500329,A04,북부성모요양원,11,305,20190801,20190801
126,11130500341,A04,강북하루정요양원,11,305,20191211,20191211
127,11130500352,A04,강북중앙요양원,11,305,20200501,20200501
128,11130500357,A04,햇살요양원,11,305,20201001,20201001
129,11130500358,A04,참햇살요양원,11,305,20201001,20201001
130,11130500391,A03,번동자연재활요양원,11,305,20221123,20221101
131,11130500395,A04,수호천사요양원,11,305,20221216,20221124
132,11132000003,A03,도봉실버센터,11,320,20080609,20080604
133,11132000113,A04,(주)도봉늘푸른요양원,11,320,20100113,20100101
134,11132000152,A04,성호요양원,11,320,20100510,20100510
135,11132000156,A03,행복드림요양원,11,320,20100524,20100524
136,11132000216,A04,동그라미요양센터1호점,11,320,20130123,20130123
137,11132000240,A04,동그라미요양센터2호점,11,320,20130601,20130601
138,11132000257,A03,희망요양원,11,320,20130611,20130611
139,11132000274,A04,수노인요양공동생활가정1호점,11,320,20131028,20131028
140,11132000275,A04,수노인요양공동생활가정2호점,11,320,20131028,20131028
141,11132000281,A03,참빛요양센터,11,320,20140101,20140101
142,11132000286,A04,가원노인요양공동생활가정1호점,11,320,20140117,20140117
143,11132000289,A04,가원노인요양공동생활가정2호점,11,320,20140221,20140221
144,11132000295,A04,도봉효드림요양원,11,320,20140401,20140401
145,11132000304,A03,참빛요양원,11,320,20140707,20140707
146,11132000319,A04,도봉요양원,11,320,20141204,20141204
147,11132000322,A04,사랑채요양종합복지센터,11,320,20141205,20141205
148,11132000330,A03,love사랑맞이요양원,11,320,20150420,20150420
149,11132000333,A04,사랑재활요양원,11,320,20150501,20150501
150,11132000337,A03,A+도봉재활요양원,11,320,20150521,20150521
151,11132000339,A03,다사랑요양원,11,320,20150921,20150921
152,11132000340,A04,사랑재활요양원2호점,11,320,20151001,20151001
153,11132000343,A04,사랑방요양원,11,320,20151201,20151201
154,11132000345,A04,꿈에그린요양원1,11,320,20151229,20151222
155,11132000346,A04,도봉은빛요양원,11,320,20151229,20151229
156,11132000352,A04,그린요양원,11,320,20160401,20160401
157,11132000370,A04,쌍문늘푸른요양원,11,320,20160920,20160920
158,11132000379,A04,도봉하루요양원1호점,11,320,20161201,20161201
159,11132000380,A04,도봉하루요양원2호점,11,320,20161201,20161201
160,11132000395,A04,강북재활요양원,11,320,20170501,20170501
161,11132000396,A04,강북재활요양원 2호점,11,320,20170501,20170501
162,11132000401,A03,큰사랑요양원,11,320,20170605,20170605
163,11132000402,A03,청춘요양원,11,320,20170605,20170605
164,11111000006,A03,청운노인요양원,11,110,20080625,20080625
165,11111000033,A04,청운실버센터,11,110,20090227,20090227
166,11111000056,A03,인자인케어센터,11,110,20100701,20100701
167,11111000060,A03,평창동시니어센터,11,110,20101125,20101125
168,11111000068,A03,아름다운뜰안에 요양원,11,110,20110816,20110816
169,11111000076,A03,서울여자간호대학교 휴먼캐슬,11,110,20130530,20130530
170,11111000078,A03,세검정실버홈,11,110,20140208,20140208
171,11111000087,A03,해피움시니어스타워(종로점),11,110,20150817,20150817
172,11111000088,A03,아름다운실버홈,11,110,20151208,20130408
173,11114000030,A03,남산실버복지센터,11,140,20100202,20100202
174,11114000040,A03,구립중구노인요양센터,11,140,20120928,20120928
175,11114000043,A04,효심원,11,140,20131107,20131107
176,11117000004,A04,사랑의 집,11,170,20080624,20080617
177,11117000054,A03,구립용산노인전문요양원,11,170,20101030,20080709
178,11117000092,A03,구립한남노인요양원,11,170,20140901,20140901
179,11117000159,A03,닥터참사랑요양원,11,170,20210201,20210201
180,11120000010,A03,시립동부노인전문요양센터,11,200,20080619,20080619
181,11120000010,G31,시립동부노인전문요양센터,11,200,20080619,20080619
182,11120000010,G32,시립동부노인전문요양센터,11,200,20080619,20080619
183,11120000010,G33,시립동부노인전문요양센터,11,200,20080619,20080619
184,11120000010,G34,시립동부노인전문요양센터,11,200,20080619,20080619
185,11120000056,A04,한마음너싱홈,11,200,20091102,20091028
186,11120000065,A03,금호노인요양원,11,200,20100301,20100301
187,11120000093,A03,이암요양원,11,200,20120810,20120810
188,11120000110,A04,서울숲 요양원,11,200,20140411,20140411
189,11120000126,A04,서울숲재활요양원,11,200,20151001,20151001
190,11120000180,A03,송정요양원,11,200,20220525,20220516
191,11120000190,A04,금호무지개요양원,11,200,20221230,20221223
192,11121500005,A03,광진소규모요양시설,11,215,20080609,20080609
193,11121500009,A04,사랑이있는집노인요양공동생활가정,11,215,20080618,20080328
194,11121500093,A04,실버밸리노인요양공동생활가정,11,215,20100301,20100301
195,11121500095,A04,광진노인보호센터,11,215,20100301,20100301
196,11121500101,A03,광진한울촌노인요양시설,11,215,20100301,20100301
197,11121500112,A04,밝은요양원,11,215,20100625,20100625
198,11121500118,A03,므두셀라실버타운,11,215,20100903,20100903
199,11121500142,A03,워커힐실버타운,11,215,20111020,20111020
200,11121500148,A03,광진원광실버센터,11,215,20120316,20120316
201,11121500161,A04,동부실버케어요양원,11,215,20130208,20130208
202,11121500196,A04,성동실버케어요양원,11,215,20151001,20151001
203,11121500252,A04,강변케어센터2,11,215,20190717,20190717
204,11121500254,A04,강변케어센터,11,215,20190717,20190717
205,11121500260,A04,노블레스요양원2,11,215,20191019,20191019
206,11121500268,A03,워커힐케어센터1,11,215,20191101,20191101
207,11121500269,A03,워커힐케어센터2,11,215,20191101,20191101
208,11121500271,A04,노블레스요양원1,11,215,20191211,20191211
209,11121500282,A04,광진늘푸른요양원,11,215,20201023,20201023
210,11121500294,A03,사랑재 요양원,11,215,20210801,20210801
211,11121500303,A04,중곡요양원,11,215,20220501,20220501
212,11123000008,A03,유자원,11,230,20080611,20080312
213,11123000009,A03,은천요양원,11,230,20080619,20080605
214,11123000022,A03,은천노인요양센터,11,230,20080630,20080630
215,11123000061,A04,은파요양원,11,230,20090707,20090622
216,11123000090,A04,은나무요양원,11,230,20100301,20100301
217,11123000113,A03,한사랑실버케어요양원,11,230,20101208,20101208
218,11123000241,A04,도우누리편안한요양원,11,230,20160922,20160922
219,11123000284,A04,서울팔팔요양원,11,230,20180601,20180601
220,11123000285,A04,서울백세요양원,11,230,20180601,20180601
221,11123000292,A04,정든요양원,11,230,20181002,20181002
222,11123000303,A04,평화요양원,11,230,20190601,20190601
223,11123000307,A04,미소지움요양원,11,230,20190901,20190901
224,11123000332,A04,성창요양원,11,230,20200501,20200501
225,11123000340,A04,우리집요양원,11,230,20200801,20200801
226,11123000347,A04,맑은샘요양원,11,230,20210201,20210201
227,11123000371,A04,소망요양원,11,230,20220324,20200324
228,11123000373,A04,홍릉요양원,11,230,20220415,20220415
229,11123000375,A04,경동노인요양원,11,230,20220405,20220405
230,11123000376,A04,경동노인요양원2,11,230,20220405,20220405
231,11123000377,A04,보은요양원,11,230,20220401,20220401
232,11123000381,A03,시립동대문실버케어센터,11,230,20220517,20220517
233,11123000383,A03,메디컬요양원,11,230,20220808,20220808
234,11126000011,A03,서울꽃동네신내노인요양원,11,260,20080623,20010511
235,11126000036,A04,로뎀노인요양공동생활가정,11,260,20081020,20081020
236,11126000074,A04,동우너싱홈,11,260,20090623,20090623
237,11126000111,A03,유린원광노인요양원,11,260,20100301,20100301
238,11126000113,A04,효원노인복지센터A,11,260,20100301,20100301
239,11126000118,A04,축복재가장기노인요양원,11,260,20100312,20100312
240,11126000119,A04,두레노인요양원,11,260,20100317,20100315
241,11126000162,A03,한세노인복지센터,11,260,20110328,20110328
242,11126000163,A04,베스트그린요양원1호점,11,260,20110329,20110329
243,11126000164,A04,베스트그린요양원2호점,11,260,20110329,20110329
244,11126000191,A04,두레노인요양원B,11,260,20120329,20120329
245,11126000218,A04,면목요양원,11,260,20130701,20130701
246,11126000230,A04,효원노인복지센터B,11,260,20130913,20130913
247,11126000231,A04,효원노인복지센터C,11,260,20130913,20130913
248,11126000232,A04,효원노인복지센터D,11,260,20130913,20130913
249,11126000234,A04,두레노인요양원C,11,260,20131115,20131115
250,11126000249,A04,사랑과섬김요양원,11,260,20140630,20140630
251,11126000253,A04,효심(가)요양원,11,260,20141001,20141001
252,11126000254,A04,효심(나)요양원,11,260,20141001,20141001
